episode,step,epsilon,reward,loss
8000,268668,0.7852,0.20,0.0602
8050,270764,0.7833,0.46,0.0765
8100,272943,0.7814,0.50,0.0825
8150,275018,0.7795,0.44,0.0933
8200,276868,0.7778,0.32,0.0835
8250,279309,0.7756,0.60,0.1077
8300,281050,0.7741,0.28,0.0745
8350,283591,0.7718,0.62,0.1093
8400,285875,0.7697,0.52,0.0953
8450,287997,0.7678,0.48,0.0822
8500,289603,0.7664,0.24,0.0602
8550,291479,0.7647,0.34,0.0714
8600,293731,0.7626,0.52,0.0925
8650,295967,0.7606,0.50,0.0912
8700,297705,0.7591,0.28,0.0631
8750,299706,0.7573,0.42,0.0792
8800,301449,0.7557,0.26,0.0685
8850,303297,0.7540,0.34,0.0748
8900,304724,0.7527,0.12,0.0540
8950,306984,0.7507,0.54,0.0836
9000,308761,0.7491,0.34,0.0631
9050,310385,0.7477,0.24,0.0609
9100,311989,0.7462,0.22,0.0618
9150,313536,0.7448,0.20,0.0562
9200,315726,0.7428,0.50,0.0763
9250,318260,0.7406,0.66,0.0969
9300,320745,0.7383,0.66,0.0938
9350,322386,0.7369,0.24,0.0565
9400,324867,0.7346,0.64,0.0839
9450,326592,0.7331,0.30,0.0599
9500,328495,0.7314,0.36,0.0706
9550,330673,0.7294,0.50,0.0853
9600,332208,0.7280,0.20,0.0581
9650,334580,0.7259,0.58,0.0920
9700,336341,0.7243,0.28,0.0700
9750,338413,0.7224,0.44,0.0791
9800,340742,0.7203,0.54,0.0891
9850,343714,0.7177,0.84,0.1149
9900,346680,0.7150,0.82,0.1264
9950,349386,0.7126,0.72,0.1055
10000,352349,0.7099,0.82,0.1139
10050,355237,0.7073,0.82,0.1070
10100,357681,0.7051,0.64,0.0846
10150,360073,0.7029,0.60,0.0869
10200,362558,0.7007,0.64,0.0810
10250,364708,0.6988,0.52,0.0794
10300,366746,0.6969,0.44,0.0732
10350,369301,0.6946,0.68,0.0935
10400,371384,0.6928,0.50,0.0847
10450,373269,0.6911,0.38,0.0697
10500,375356,0.6892,0.48,0.0776
10550,378127,0.6867,0.78,0.1055
10600,380779,0.6843,0.72,0.1015
10650,382844,0.6824,0.44,0.0770
10700,385465,0.6801,0.76,0.1000
10750,388240,0.6776,0.78,0.1033
10800,390938,0.6752,0.80,0.1083
10850,394290,0.6721,1.12,0.1459
10900,397016,0.6697,0.78,0.1089
10950,399455,0.6675,0.62,0.0996
11000,402309,0.6649,0.82,0.1174
11050,404979,0.6625,0.72,0.1129
11100,407750,0.6600,0.82,0.1118
11150,410739,0.6573,0.90,0.1312
11200,413416,0.6549,0.78,0.1221
11250,416384,0.6523,0.88,0.1438
11300,419156,0.6498,0.82,0.1385
11350,421589,0.6476,0.74,0.1239
11400,424724,0.6447,1.04,0.1627
11450,427395,0.6423,0.76,0.1447
11500,430247,0.6398,0.82,0.1629
11550,432866,0.6374,0.76,0.1594
11600,435223,0.6353,0.66,0.1574
11650,438525,0.6323,1.06,0.2135
11700,440808,0.6303,0.56,0.1431
11750,443612,0.6278,0.88,0.1773
11800,446141,0.6255,0.68,0.1639
11850,449083,0.6228,0.88,0.1829
11900,451806,0.6204,0.88,0.1790
11950,454898,0.6176,0.98,0.1940
12000,457624,0.6151,0.78,0.1765
12050,461033,0.6121,1.18,0.1968
12100,463521,0.6098,0.72,0.1606
12150,466054,0.6076,0.72,0.1546
12200,469450,0.6045,1.12,0.1961
12250,472908,0.6014,1.12,0.2065
12300,475971,0.5986,0.98,0.1703
12350,478822,0.5961,0.90,0.1815
12400,481648,0.5935,0.90,0.1868
12450,484775,0.5907,0.98,0.2160
12500,487923,0.5879,1.04,0.2162
12550,491229,0.5849,1.08,0.2518
12600,494230,0.5822,0.92,0.1994
12650,497444,0.5793,1.04,0.2111
12700,500933,0.5762,1.12,0.2394
12750,503881,0.5735,0.88,0.2123
12800,507321,0.5704,1.18,0.2490
12850,510490,0.5676,1.04,0.2562
12900,513646,0.5647,1.02,0.2501
12950,517279,0.5614,1.28,0.2959
13000,520451,0.5586,1.04,0.2981
13050,524126,0.5553,1.34,0.3428
13100,527869,0.5519,1.24,0.3905
13150,531382,0.5488,1.10,0.3700
13200,535066,0.5454,1.16,0.3621
